time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-18 00:00:00+00:00,1,1,1.0,1.0
2022-11-19 00:00:00+00:00,7,7,,
2022-11-20 00:00:00+00:00,2,2,11.0,2.0
2022-11-21 00:00:00+00:00,3,2,4.0,2.0
2022-11-22 00:00:00+00:00,2,2,32.0,6.0
2022-11-23 00:00:00+00:00,2,2,4.0,2.0
2022-11-24 00:00:00+00:00,2,2,16.0,4.0
2022-11-25 00:00:00+00:00,5,4,38.0,6.0
2022-11-26 00:00:00+00:00,8,5,62.0,2.0
2022-11-27 00:00:00+00:00,6,4,26.0,2.0
2022-11-28 00:00:00+00:00,5,3,85.0,4.0
2022-11-29 00:00:00+00:00,1,1,56.0,1.0
2022-11-30 00:00:00+00:00,11,9,55.0,3.0
2022-12-01 00:00:00+00:00,17,9,71.0,3.0
